source,target,weight
3GPTvhZ8XfH7WkHXidvELk,4DYFVNKZ1uixa6SQTvzQwJ,1
2qbEtwBVyobgpNP5KcHE9J,5sZKwZcGSzyVnO1P62PdCq,1
4SsVbpTthjScTS7U2hmr1X,64aJYyrXljOodnUG6jvhRD,1
4aSlfXDn9R60UlbZEboBUy,7iK8PXO48WeuP03g8YR51W,3
3fZk3Gm5dN5v5yfYMQ04Bx,77ziqFxp5gaInVrF2lj4ht,5
3GPTvhZ8XfH7WkHXidvELk,4VVEpEhC8NcR7AqNEds42U,1
1i8SpTcr7yvPOmcqrbnVXY,4SsVbpTthjScTS7U2hmr1X,2
0odliLZMTk45CEVzF3Zocl,4SsVbpTthjScTS7U2hmr1X,1
3hfWiirwdO1ijoZQwj7uzZ,4SsVbpTthjScTS7U2hmr1X,1
2qbEtwBVyobgpNP5KcHE9J,64aJYyrXljOodnUG6jvhRD,1
16Juw2gfa9IxEL3Vu69cH7,4SsVbpTthjScTS7U2hmr1X,1
1pgDilWYDWLoOgGjf1iHNu,64aJYyrXljOodnUG6jvhRD,1
3qsKSpcV3ncke3hw52JSMB,4SsVbpTthjScTS7U2hmr1X,1
1pgDilWYDWLoOgGjf1iHNu,21451j1KhjAiaYKflxBjr1,1
4SsVbpTthjScTS7U2hmr1X,6nVcHLIgY5pE2YCl8ubca1,2
12vb80Km0Ew53ABfJOepVz,7iK8PXO48WeuP03g8YR51W,4
2YRyPiW98bpkARAS4B3OQP,4SsVbpTthjScTS7U2hmr1X,2
3E6xrwgnVfYCrCs0ePERDz,4VVEpEhC8NcR7AqNEds42U,1
4SsVbpTthjScTS7U2hmr1X,6XkjpgcEsYab502Vr1bBeW,1
4SsVbpTthjScTS7U2hmr1X,716NhGYqD1jl2wI1Qkgq36,3
00me4Ke1LsvMxt5kydlMyU,7qYeIN2r4H1kBvr0Gm9Iav,1
1bAftSH8umNcGZ0uyV7LMg,716NhGYqD1jl2wI1Qkgq36,6
12vb80Km0Ew53ABfJOepVz,329e4yvIujISKGKz1BZZbO,4
4SsVbpTthjScTS7U2hmr1X,5lFhCi03HDneWzvCxGctrT,1
3EiLUeyEcA6fbRPSHkG5kb,4SsVbpTthjScTS7U2hmr1X,6
12vb80Km0Ew53ABfJOepVz,4SsVbpTthjScTS7U2hmr1X,5
2LRoIwlKmHjgvigdNGBHNo,4SsVbpTthjScTS7U2hmr1X,1
1WMwuNKzEFtU6pPkdtryYS,4SsVbpTthjScTS7U2hmr1X,3
4SsVbpTthjScTS7U2hmr1X,5lwmRuXgjX8xIwlnauTZIP,1
3EiLUeyEcA6fbRPSHkG5kb,7qYeIN2r4H1kBvr0Gm9Iav,3
64aJYyrXljOodnUG6jvhRD,7qYeIN2r4H1kBvr0Gm9Iav,1
14zUHaJZo1mnYtn6IBRaRP,5XJDexmWFLWOkjOEjOVX3e,2
1pf0MPKfKdvS8J779mS1Ay,2cPqdH7XMvwaBJEVjheH8g,1
4SsVbpTthjScTS7U2hmr1X,7cYik4OyfBXYV5Z2TI7p90,1
1uy3w1dRiwRTYHiOOzZ5EE,3EiLUeyEcA6fbRPSHkG5kb,1
1DxLCyH42yaHKGK3cl5bvG,4SsVbpTthjScTS7U2hmr1X,1
12GqGscKJx3aE4t07u7eVZ,4SsVbpTthjScTS7U2hmr1X,3
4SsVbpTthjScTS7U2hmr1X,6XFITTl7cFTdopDY3lUdlY,1
1TtXnWcUs0FCkaZDPGYHdf,4SsVbpTthjScTS7U2hmr1X,3
